,Sample,alpha_ratio,theta_beta_ratio,valence
2,sub-001_ses-01,-0.000500000000000056,-0.00705272255834054,0.447
3,sub-001_ses-02,-0.0116000000000001,0.00711704806744772,0.272
4,sub-001_ses-03,0.00824999999999998,0.00664398112623729,0.612
5,sub-001_ses-04,0.00130000000000008,0.01814910109432,0.0734
6,sub-001_ses-05,0.005,-0.0113839368702632,0.325
7,sub-001_ses-06,0.0105,0.016613153806318,0.193
8,sub-001_ses-07,0.000900000000000123,-0.0074810530337358,0.149
9,sub-001_ses-08,0.00595000000000001,-0.00851020998240179,0.504
10,sub-001_ses-09,0.000200000000000089,-0.00937074777923792,0.741
11,sub-001_ses-10_,-0.00119999999999998,-0.00139592727641899,0.346
12,sub-001_ses-11_,0.000900000000000012,0.00372667604911678,0.696
13,sub-001_ses-12_,0.0019,-0.0159859390693003,0.224
14,sub-002_ses-01,0.00895000000000001,0.000752298727910564,0.447
15,sub-002_ses-02,-0.00224999999999999,-0.00587300593233623,0.272
16,sub-002_ses-03,-0.0177000000000003,0.0105425485011052,0.612
17,sub-002_ses-04,0.0104500000000003,0.00357671531589899,0.0734
18,sub-002_ses-05,-0.0109499999999998,-0.00177914728107459,0.325
19,sub-002_ses-06,-0.00180000000000002,-0.000752814265079311,0.193
20,sub-002_ses-07,0.00530000000000008,-0.0064718838401236,0.149
21,sub-002_ses-08,-0.00244999999999984,0.0102175306353458,0.504
22,sub-002_ses-09,0.0130999999999998,-0.0150152735522128,0.741
23,sub-002_ses-10_,0.00499999999999989,0.0219690670214535,0.346
24,sub-002_ses-11_,-0.00570000000000004,-0.0166973056751424,0.696
25,sub-002_ses-12_,-0.00919999999999999,-0.00852327641503805,0.224
26,sub-003_ses-01,-0.00659999999999994,-0.00335251570666807,0.447
27,sub-003_ses-02,-0.00459999999999999,-0.0290196938943442,0.272
28,sub-003_ses-03,-0.00114999999999987,0.00419058595747775,0.612
29,sub-003_ses-04,-0.0211999999999994,0.00458858905767954,0.0734
30,sub-003_ses-05,-0.0102000000000005,-0.00493101808413966,0.325
31,sub-003_ses-06,0.00140000000000029,0.00983505154639172,0.193
32,sub-003_ses-07,-0.000799999999999967,0.00116233117139736,0.149
33,sub-003_ses-08,-0.0109500000000001,-0.00712896204309752,0.504
34,sub-003_ses-09,0.0114,-0.00625471508973003,0.741
35,sub-003_ses-10_,0.00220000000000001,0.00286398487263894,0.346
36,sub-003_ses-11_,-0.00544999999999973,0.00375823421374845,0.696
37,sub-003_ses-12_,0.00625000000000009,0.00122004888254948,0.224
38,sub-004_ses-01,0.0177499999999999,0.0379287084406355,0.447
39,sub-004_ses-02,-0.00719999999999921,0.00526724626200239,0.272
40,sub-004_ses-03,-0.00159999999999988,0.00311886741166154,0.612
41,sub-004_ses-04,0.00140000000000018,0.0273424890941875,0.0734
42,sub-004_ses-05,0.0158000000000005,0.0134183759246806,0.325
43,sub-004_ses-06,-0.00250000000000017,-0.00842947039858644,0.193
